,price,area,latitude,longitude,Bedrooms,Bathrooms,neworold,type_of_building,Price_sqft,Furnished_status_Semi-Furnished,Furnished_status_Unfurnished
211,14000000.0,1750.0,28.4215541,77.0780609,3.0,4.0,Resale,Flat,8000.0,True,False
212,15000000.0,1900.0,28.424436569213867,77.09821319580078,3.0,3.0,Resale,Flat,7894.736842105263,True,False
213,13200000.0,1935.0,28.642318725585938,77.42117309570312,3.0,3.0,Resale,Flat,6821.705426356589,False,False
214,2800000.0,800.0,28.63578224182129,77.43241882324219,2.0,2.0,Resale,Individual House,3500.0,True,False
215,14000000.0,1800.0,28.47489356994629,77.00980377197266,3.0,3.0,Resale,Flat,7777.777777777777,False,True
216,3400000.0,850.0,28.6493479,77.3696259,2.0,2.0,Resale,Flat,4000.0,False,True
217,11500000.0,1478.0,28.386791,77.049466,2.0,2.0,Resale,Flat,7780.784844384303,False,False
218,3300000.0,900.0,28.600419998168945,77.44546508789062,2.0,2.0,New Property,Flat,3666.6666666666665,False,True
219,6000000.0,1234.0,28.438316345214844,77.51483154296875,2.0,2.0,Resale,Flat,4862.23662884927,False,False
220,5600000.0,1507.0,28.517742,77.529334,2.0,3.0,Resale,Individual House,3715.992037159921,False,False
221,5800000.0,1365.0,28.589075088500977,77.32030487060547,3.0,3.0,Resale,Flat,4249.084249084249,False,True
222,2100000.0,615.0,28.6738471,77.4829531,2.0,2.0,Resale,Flat,3414.634146341464,False,True
223,5200000.0,1140.0,28.5575028022171,77.386464965331,2.0,2.0,Resale,Individual House,4561.403508771929,False,False
224,8000000.0,1325.0,28.39343,76.99731,2.0,2.0,Resale,Individual House,6037.735849056604,False,False
225,7650000.0,997.0,28.425657,77.04300339,2.0,2.0,Resale,Flat,7673.019057171515,False,False
226,5500000.0,1100.0,28.49742317199707,77.02734375,3.0,2.0,Resale,Flat,5000.0,True,False
227,5400000.0,1405.0,28.4570313,77.514304,3.0,2.0,Resale,Individual House,3843.4163701067614,False,False
228,8500000.0,1775.0,28.588371,77.400313,3.0,3.0,Resale,Flat,4788.732394366197,False,False
229,6000000.0,1000.0,28.686418533325195,77.299560546875,3.0,3.0,Resale,Flat,6000.0,True,False
230,17500000.0,1658.0,28.68220329284668,77.18806457519531,3.0,2.0,New Property,Flat,10554.885404101327,True,False
231,2450000.0,630.0,28.591666,77.484749,2.0,2.0,Resale,Flat,3888.8888888888887,False,False
232,7300000.0,1742.0,28.641756,77.3788593620366,3.0,2.0,Resale,Flat,4190.585533869116,False,False
233,14500000.0,1650.0,28.5621338401025,77.0567893768121,3.0,2.0,Resale,Individual House,8787.878787878788,False,False
234,4800000.0,950.0,28.5507543331581,77.3616874515359,2.0,2.0,Resale,Flat,5052.631578947368,False,False
235,4200000.0,800.0,28.641779,77.3502969,2.0,2.0,Resale,Flat,5250.0,True,False
236,12800000.0,1472.0,28.39522652,77.05988662,2.0,3.0,New Property,Flat,8695.652173913044,False,False
237,27500000.0,2250.0,28.5994675,77.0349205,4.0,4.0,New Property,Flat,12222.222222222224,False,False
238,12000000.0,1850.0,28.548787,77.346032,3.0,4.0,Resale,Flat,6486.486486486487,False,False
239,7500000.0,900.0,28.4584723542826,77.0525565353357,2.0,2.0,Resale,Individual House,8333.333333333334,False,False
240,3500000.0,1050.0,28.633676528930664,77.43097686767578,2.0,2.0,Resale,Flat,3333.333333333333,False,False
241,3850000.0,720.0,28.52319526672364,77.21430969238281,2.0,2.0,Resale,Individual House,5347.222222222223,False,True
242,8000000.0,1550.0,28.6354490945654,77.3238143396458,3.0,2.0,Resale,Flat,5161.290322580645,False,False
243,4350000.0,1300.0,28.4626703284033,77.5583025174588,3.0,3.0,Resale,Flat,3346.153846153846,False,False
244,9000000.0,1536.0,28.514908,76.974388,2.0,2.0,Resale,Individual House,5859.375,False,False
245,5000000.0,1285.0,28.605958,77.444512,2.0,2.0,Resale,Flat,3891.050583657588,False,True
246,5800000.0,1350.0,28.34699821472168,77.32400512695312,3.0,2.0,Resale,Individual House,4296.2962962962965,True,False
247,4200000.0,1335.0,28.5661101,77.4406099,2.0,2.0,Resale,Flat,3146.067415730337,True,False
